Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,12.5,12.5,12.5,12.5,8.915292739868164,10
2016-01-07,13.119999885559082,13.119999885559082,13.119999885559082,13.119999885559082,9.357490539550781,1
2016-01-08,13.770000457763672,13.770000457763672,13.770000457763672,13.770000457763672,9.821086883544922,1
2016-01-11,14.449999809265137,14.449999809265137,14.449999809265137,14.449999809265137,10.30607795715332,5
2016-01-12,15.170000076293945,15.170000076293945,15.170000076293945,15.170000076293945,10.819599151611328,5
2016-01-13,15.920000076293945,15.920000076293945,15.920000076293945,15.920000076293945,11.354516983032227,56
2016-01-14,16.25,16.25,16.25,16.25,11.58988094329834,5
2016-01-15,16.25,16.25,16.25,16.25,11.58988094329834,5
2016-01-18,16.25,16.25,16.25,16.25,11.58988094329834,4
2016-01-19,16.25,16.25,16.25,16.25,11.58988094329834,5
2016-01-20,17.8700008392334,17.8700008392334,17.8700008392334,17.8700008392334,12.7453031539917,10
2016-01-21,19.649999618530273,19.649999618530273,19.649999618530273,19.649999618530273,14.014839172363281,5
2016-01-22,20.0,20.0,20.0,20.0,14.2644681930542,8
2016-01-25,20.0,20.0,20.0,20.0,14.2644681930542,3
2016-01-27,20.0,20.0,20.0,20.0,14.2644681930542,0
2016-01-28,20.0,20.0,20.0,20.0,14.2644681930542,0
2016-01-29,20.0,20.0,20.0,20.0,14.2644681930542,5
2016-02-01,22.0,22.0,22.0,22.0,15.69091510772705,3
2016-02-02,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,17.260007858276367,3
2016-02-03,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,17.260007858276367,0
2016-02-04,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,17.260007858276367,5
2016-02-05,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,17.260007858276367,0
2016-02-08,25.399999618530273,25.399999618530273,25.399999618530273,25.399999618530273,18.115875244140625,6
2016-02-09,25.75,25.75,25.75,25.75,18.365503311157227,3
2016-02-10,25.75,25.75,25.75,25.75,18.365503311157227,24
2016-02-11,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-12,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-15,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-16,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-17,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-18,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-19,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-22,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-23,25.75,25.75,25.75,25.75,18.365503311157227,5
2016-02-24,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-25,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-26,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-02-29,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-03-01,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-03-02,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-03-03,25.75,25.75,25.75,25.75,18.365503311157227,0
2016-03-04,25.75,25.75,25.75,25.75,18.365503311157227,0
