Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,37.45000076293945,39.25,35.5,38.45000076293945,38.45000076293945,8455.0
2002-07-02,40.70000076293945,40.70000076293945,36.45000076293945,37.45000076293945,37.45000076293945,6168.0
2002-07-03,37.95000076293945,44.0,36.95000076293945,42.5,42.5,19363.0
2002-07-04,41.70000076293945,44.0,39.75,41.70000076293945,41.70000076293945,9349.0
2002-07-05,43.25,43.5,40.5,42.0,42.0,6693.0
2002-07-08,44.0,49.20000076293945,41.20000076293945,46.75,46.75,24092.0
2002-07-09,46.25,47.75,42.5,43.5,43.5,12457.0
2002-07-10,44.75,45.45000076293945,40.0,41.20000076293945,41.20000076293945,10268.0
2002-07-11,40.20000076293945,42.0,38.45000076293945,39.25,39.25,10624.0
2002-07-12,40.20000076293945,40.5,38.25,39.25,39.25,2795.0
2002-07-15,38.75,38.75,35.75,35.75,35.75,2786.0
2002-07-16,35.5,35.75,30.5,34.0,34.0,4940.0
2002-07-17,33.0,33.5,31.0,33.5,33.5,1129.0
2002-07-18,34.0,36.04999923706055,34.0,35.0,35.0,2175.0
2002-07-19,34.0,34.0,32.5,33.5,33.5,1006.0
2002-07-22,32.5,32.5,29.25,29.25,29.25,1410.0
2002-07-23,28.450000762939453,31.0,28.450000762939453,30.75,30.75,1857.0
2002-07-24,30.25,30.25,29.450000762939453,29.950000762939453,29.950000762939453,312.0
2002-07-25,29.950000762939453,30.25,29.25,29.25,29.25,1198.0
2002-07-26,26.25,28.75,26.25,28.75,28.75,656.0
2002-07-29,25.5,26.25,23.25,23.25,23.25,1530.0
2002-07-30,25.0,26.0,25.0,25.0,25.0,1486.0
2002-07-31,22.5,25.0,22.5,25.0,25.0,480.0
2002-08-01,28.450000762939453,28.450000762939453,24.0,24.0,24.0,1850.0
2002-08-02,20.450000762939453,25.5,20.450000762939453,23.0,23.0,988.0
2002-08-05,26.5,26.5,24.700000762939453,26.25,26.25,191.0
2002-08-06,24.0,26.0,23.799999237060547,25.0,25.0,143.0
2002-08-07,26.5,27.25,26.0,26.0,26.0,329.0
2002-08-08,26.0,28.049999237060547,24.0,27.0,27.0,2062.0
2002-08-09,25.5,26.0,25.0,25.0,25.0,895.0
2002-08-12,24.0,24.700000762939453,23.799999237060547,24.700000762939453,24.700000762939453,740.0
