Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,73.75,73.75,73.75,73.75,73.75,320
2012-06-19,73.75,73.75,73.75,73.75,73.75,0
2012-06-20,73.75,73.75,73.75,73.75,73.75,0
2012-06-21,73.75,73.75,73.75,73.75,73.75,0
2012-06-22,73.75,73.75,73.75,73.75,73.75,0
2012-06-25,73.75,73.75,73.75,73.75,73.75,0
2012-06-26,75.0,75.0,75.0,75.0,75.0,8
2012-06-27,75.0,75.0,75.0,75.0,75.0,0
2012-06-28,75.0,75.0,75.0,75.0,75.0,0
2012-06-29,75.0,75.0,75.0,75.0,75.0,0
2012-07-02,71.375,71.375,71.375,71.375,71.375,8
2012-07-03,67.875,67.875,67.875,67.875,67.875,80
2012-07-04,64.5,71.25,64.5,64.5,64.5,288
2012-07-05,61.375,61.375,61.375,61.375,61.375,240
2012-07-06,58.375,58.375,58.375,58.375,58.375,376
2012-07-09,55.625,55.625,55.625,55.625,55.625,48
2012-07-10,53.125,53.125,52.875,52.875,52.875,960
2012-07-11,50.75,50.75,50.75,50.75,50.75,8
2012-07-12,53.25,53.25,53.25,53.25,53.25,16
2012-07-13,55.875,55.875,55.875,55.875,55.875,120
2012-07-16,58.625,58.625,58.625,58.625,58.625,120
2012-07-17,61.5,61.5,61.5,61.5,61.5,40
2012-07-18,64.5,64.5,64.5,64.5,64.5,40
2012-07-19,67.5,67.5,61.5,61.5,61.5,48
2012-07-20,64.5,64.5,58.625,58.625,58.625,48
2012-07-23,58.625,58.625,58.625,58.625,58.625,0
2012-07-24,58.625,58.625,58.625,58.625,58.625,0
2012-07-25,58.625,58.625,58.625,58.625,58.625,0
2012-07-26,58.625,58.625,58.625,58.625,58.625,0
2012-07-27,58.625,58.625,58.625,58.625,58.625,0
2012-07-30,61.5,61.5,61.5,61.5,61.5,64
2012-07-31,61.5,61.5,61.5,61.5,61.5,0
2012-08-01,64.5,64.5,58.875,63.75,63.75,232
2012-08-02,66.875,66.875,66.875,66.875,66.875,80
2012-08-03,63.625,63.625,63.625,63.625,63.625,8
2012-08-06,66.75,66.75,60.5,60.5,60.5,88
2012-08-07,60.5,60.5,60.5,60.5,60.5,0
2012-08-08,63.5,63.5,63.5,63.5,63.5,8
2012-08-09,60.375,60.375,60.375,60.375,60.375,8
2012-08-10,60.375,60.375,60.375,60.375,60.375,0
2012-08-13,60.375,60.375,60.375,60.375,60.375,0
2012-08-14,63.375,63.375,63.375,63.375,63.375,8
2012-08-16,60.25,66.5,60.25,66.5,66.5,16
2012-08-17,69.75,69.75,63.25,69.75,69.75,200
2012-08-21,66.75,73.125,66.75,73.125,73.125,16
2012-08-22,76.75,76.75,76.75,76.75,76.75,8
2012-08-23,73.0,73.0,73.0,73.0,73.0,8
2012-08-24,69.375,69.375,69.375,69.375,69.375,8
2012-08-27,69.375,69.375,69.375,69.375,69.375,0
2012-08-28,66.0,66.0,66.0,66.0,66.0,88
2012-08-29,62.75,62.75,62.75,62.75,62.75,32
2012-08-30,62.75,62.75,62.75,62.75,62.75,0
2012-08-31,62.75,62.75,62.75,62.75,62.75,0
2012-09-03,59.625,65.875,59.625,65.875,65.875,200
2012-09-04,69.125,69.125,69.125,69.125,69.125,8
2012-09-05,72.5,72.5,72.5,72.5,72.5,8
2012-09-06,72.5,72.5,72.5,72.5,72.5,0
2012-09-07,72.5,72.5,72.5,72.5,72.5,0
2012-09-10,72.5,72.5,72.5,72.5,72.5,0
2012-09-11,65.625,65.625,65.625,65.625,65.625,8
2012-09-12,68.875,68.875,68.875,68.875,68.875,8
2012-09-13,65.5,65.5,65.5,65.5,65.5,8
2012-09-14,65.5,65.5,65.5,65.5,65.5,0
2012-09-17,62.25,62.25,62.25,62.25,62.25,8
2012-09-18,62.25,62.25,62.25,62.25,62.25,0
2012-09-20,62.25,62.25,62.25,62.25,62.25,0
2012-09-21,62.25,62.25,62.25,62.25,62.25,0
2012-09-24,62.25,62.25,62.25,62.25,62.25,0
2012-09-25,62.25,62.25,62.25,62.25,62.25,0
2012-09-26,62.25,62.25,62.25,62.25,62.25,0
2012-09-27,65.25,65.25,65.25,65.25,65.25,16
2012-09-28,65.25,65.25,65.25,65.25,65.25,0
