Date,Open,High,Low,Close,Adj Close,Volume
2010-02-17,490.0,492.5,489.0,490.0,357.4853210449219,21237
2010-02-18,490.0,491.0,488.0,490.5,357.85009765625,97
2010-02-19,490.5,490.5,482.0,483.1000061035156,352.45135498046875,598
2010-02-22,490.04998779296875,499.0,486.0,499.0,364.0513610839844,379
2010-02-23,479.6000061035156,488.0,479.6000061035156,487.0,355.296630859375,218
2010-02-24,487.0,488.0,480.25,485.0,353.8375244140625,33641
2010-02-25,486.0,486.0,483.0,485.0,353.8375244140625,2315
2010-02-26,488.0,498.95001220703125,486.0,488.1000061035156,356.0991516113281,945
2010-03-02,500.0,501.8800048828125,488.1199951171875,501.8699951171875,366.1452331542969,3159
2010-03-03,504.0,507.8999938964844,504.0,507.0,369.88787841796875,21178
2010-03-04,509.0,509.0,480.0,504.0,367.6991882324219,18739
2010-03-05,510.0,510.0,507.0,508.0,370.617431640625,1494
2010-03-08,510.79998779296875,516.0,508.510009765625,512.5499877929688,373.93695068359375,18629
2010-03-09,512.0,512.0,510.0,510.20001220703125,372.22247314453125,15105
2010-03-10,511.0,513.5,508.5,511.0,372.8061218261719,68468
2010-03-11,511.0,513.5,511.0,513.5,374.6300354003906,4551
2010-03-12,515.0,516.0,510.0,510.0,372.0765686035156,3556
2010-03-15,512.0,514.0,509.0,512.0,373.5356750488281,3636
2010-03-16,514.0,520.9500122070312,513.0,520.9500122070312,380.06524658203125,1830
2010-03-17,520.9500122070312,525.0,511.29998779296875,523.0,381.5608825683594,2213
2010-03-18,524.5,525.0,522.0,523.4600219726562,381.8964538574219,3179
2010-03-19,525.0,527.0,524.0,527.0,384.4790954589844,5356
2010-03-22,526.9000244140625,526.9000244140625,511.0,523.0,381.5608825683594,2784
2010-03-23,523.0,523.0,513.9500122070312,521.0,380.1017150878906,1705
2010-03-25,521.0,526.0,520.5,525.0,383.0199890136719,799
2010-03-26,525.0,528.0,525.0,528.0,385.2086486816406,777
2010-03-29,529.0,533.0,529.0,529.0,385.938232421875,964
2010-03-30,533.0,533.0,500.17999267578125,525.0,383.0199890136719,2525
2010-03-31,520.0,528.5,520.0,523.5,381.9256286621094,2071
2010-04-01,530.0,530.0,526.0,528.5,385.5734558105469,916
2010-04-05,531.5,536.0,531.0,536.0,391.045166015625,10491
2010-04-06,536.9500122070312,537.5,535.5,536.5,391.4099426269531,1589
2010-04-07,538.0,540.0,535.0,537.0,391.77471923828125,1390
2010-04-08,536.0,536.5,534.0,536.5,391.4099426269531,3712
2010-04-09,534.0,537.0,532.5,535.0,390.31561279296875,1635
2010-04-12,537.0,537.0,533.0,536.0,391.045166015625,683
2010-04-13,531.5,533.0,531.5,532.0,388.1269226074219,97
2010-04-15,535.5,536.5,528.0,528.0,385.2086486816406,448
2010-04-16,527.0,528.0,524.7999877929688,526.5,384.1143493652344,1560
2010-04-19,520.0,522.0,518.0,520.0,379.3721618652344,348
2010-04-20,521.5,526.0,521.0,522.5,381.1960754394531,137
2010-04-21,525.0,525.5,523.5,523.5,381.9256286621094,2770
2010-04-22,522.5,532.0,522.5,525.0,383.0199890136719,1952
2010-04-23,529.0,530.0,528.5,528.5,385.5734558105469,1227
2010-04-26,533.0,535.0,531.0,531.0,387.3973693847656,773
2010-04-27,532.0,534.0,531.0,531.0,387.3973693847656,370
2010-04-28,526.0,526.02001953125,521.0,522.0,380.831298828125,2817
2010-04-29,524.0,526.0,523.2100219726562,524.75,382.8376159667969,770
2010-04-30,529.0,530.0,527.0,530.0,386.66778564453125,1403
2010-05-03,530.0,530.0,523.0,525.0,383.0199890136719,607
2010-05-04,525.0,527.0,519.0,520.0,379.3721618652344,388
2010-05-05,507.0,515.0,507.0,515.0,375.724365234375,520
2010-05-06,512.0,513.0,505.0,512.0,373.5356750488281,29956
2010-05-07,504.0,505.95001220703125,499.0,505.95001220703125,369.121826171875,2897
2010-05-10,511.0,516.0,490.0,512.0,373.5356750488281,1504
2010-05-11,517.0,520.0,513.0,514.0,374.9947814941406,362
2010-05-12,515.0,518.0,513.0999755859375,513.0999755859375,374.3381652832031,245
2010-05-13,519.0,521.0,422.25,518.0,377.9130554199219,972
2010-05-14,516.0,520.0,508.0,508.0,370.617431640625,429
2010-05-17,501.0,507.0,499.5,506.0,369.1582946777344,938
2010-05-18,505.0,508.0,503.0,504.5,368.06396484375,115
2010-05-19,490.0,598.2999877929688,410.0,495.25,361.3155212402344,3162
2010-05-20,500.0,500.0,494.0,496.0,361.8627014160156,183
2010-05-21,500.0,500.0,481.0,493.0,359.67401123046875,2200
2010-05-24,501.0,503.0,497.0,497.489990234375,362.9497375488281,300
2010-05-25,590.0,590.0,482.0,485.6199951171875,354.2898254394531,2959
2010-05-26,490.0,495.0,486.0,494.0799865722656,360.4619140625,7179
2010-05-27,492.0,498.0,492.0,498.0,363.3218078613281,111
2010-05-28,505.0,508.0,503.5,506.95001220703125,369.8514099121094,369
2010-05-31,508.0,509.8999938964844,504.5,506.4800109863281,369.5085144042969,7444
2010-06-01,505.0,506.5,494.0,494.0299987792969,360.4254455566406,17230
2010-06-02,499.5,502.79998779296875,496.0,500.0899963378906,364.8465881347656,10572
2010-06-03,508.1499938964844,511.0,508.0,510.0,372.0765686035156,3850
2010-06-04,510.0,513.1500244140625,490.1000061035156,512.0,373.5356750488281,2168
2010-06-07,503.0,504.989990234375,501.8900146484375,504.9700012207031,368.4068603515625,13590
2010-06-08,505.5,506.95001220703125,498.0,499.5899963378906,364.4818420410156,6159
2010-06-09,499.0,505.0,499.0,500.8999938964844,365.4375305175781,6943
2010-06-10,504.0,504.989990234375,504.0,504.0,367.6991882324219,89
2010-06-11,512.0,512.0,505.04998779296875,507.8999938964844,370.5444641113281,400
2010-06-14,516.0,517.0,514.0,516.0,376.4539489746094,1668
2010-06-15,511.75,521.0,511.75,520.0999755859375,379.4450988769531,1071
2010-06-16,520.0,523.9000244140625,513.0499877929688,515.52001953125,376.1037292480469,189
2010-06-17,516.0,527.5,516.0,526.97998046875,384.4645080566406,32117
2010-06-18,528.0,530.0,515.5,523.97998046875,382.27581787109375,652
2010-06-21,528.0,532.0,528.0,528.0399780273438,385.2378234863281,2182
2010-06-22,528.0,531.0,528.0,531.0,387.3973693847656,1348
2010-06-23,531.0,531.0,525.0,528.010009765625,385.2159729003906,24
2010-06-24,528.0,530.0,528.0,529.25,386.1206359863281,1912
2010-06-25,529.25,529.25,502.70001220703125,521.6699829101562,380.5905456542969,243
2010-06-28,525.0,529.9600219726562,525.0,528.3599853515625,385.4712829589844,318
2010-06-29,525.010009765625,528.0,520.010009765625,525.5,383.384765625,661
2010-06-30,525.5,530.0,523.0,525.0,383.0199890136719,363
2010-07-01,525.0,528.5,525.0,525.0,383.0199890136719,481
2010-07-02,525.0,525.1500244140625,523.0,523.0,381.5608825683594,481
2010-07-05,523.0499877929688,524.0,523.0,523.0,381.5608825683594,89
2010-07-06,523.0,530.0,437.0,521.4600219726562,380.4373474121094,1061
2010-07-07,528.0,528.0,523.0,523.5,381.9256286621094,8756
2010-07-08,530.0,531.0,529.0,529.0,385.938232421875,235
2010-07-09,530.010009765625,534.0,530.0,530.25,386.8501892089844,663
2010-07-12,534.5,539.0,534.5,537.8499755859375,392.39483642578125,1187
2010-07-13,532.0,539.0,532.0,538.8699951171875,393.1390075683594,4058
2010-07-14,539.0,544.0,530.010009765625,541.780029296875,395.2620544433594,2792
2010-07-15,540.5999755859375,540.5999755859375,535.0,535.010009765625,390.3229064941406,103
2010-07-16,535.1099853515625,538.0,535.1099853515625,535.1099853515625,390.3958435058594,199
2010-07-19,538.0,538.0,535.0,535.0,390.31561279296875,332
2010-07-20,540.0,540.0,535.010009765625,538.6500244140625,392.9785461425781,168
2010-07-21,535.0499877929688,535.5999755859375,535.0499877929688,535.5999755859375,390.7533264160156,242
2010-07-22,535.5999755859375,543.0,535.010009765625,542.1699829101562,395.5465393066406,1126
2010-07-23,542.0,544.0,541.0499877929688,541.0499877929688,394.7294616699219,348
2010-07-26,546.0,546.0,540.0,540.5399780273438,394.35736083984375,389
2010-07-27,542.0,545.0,540.0,541.5,395.0577697753906,460
2010-07-28,543.0,543.0,540.0,540.0,393.9634094238281,1156
2010-07-29,539.0,540.0,535.0,540.0,393.9634094238281,288
2010-07-30,538.0,538.0,535.0,535.0,390.31561279296875,105
2010-08-02,544.0,544.0,537.0499877929688,537.0999755859375,391.84765625,468
2010-08-03,544.0,544.0,540.0,541.0,394.6929626464844,17933
2010-08-04,542.0,549.0,540.0,548.1900024414062,399.9385070800781,1291
2010-08-05,548.0,550.0,543.0,543.0,396.152099609375,305
2010-08-06,545.0,546.989990234375,540.0,540.8599853515625,394.5908508300781,236
2010-08-09,545.0,546.0,542.0,546.0,398.3407897949219,283
2010-08-10,547.0,547.0,512.7999877929688,532.77001953125,388.6886901855469,139
2010-08-11,546.5,546.5,542.5,542.5700073242188,395.8384094238281,1687
2010-08-12,540.0,543.0,540.0,543.0,396.152099609375,116
2010-08-13,543.0,547.5,540.0,547.5,399.43511962890625,380
2010-08-16,548.0,548.0,539.0,539.0,393.2338562011719,368
2010-08-17,540.0,544.0,540.0,543.0,396.152099609375,10145
2010-08-18,496.0,547.0,496.0,544.9199829101562,397.5528259277344,227
2010-08-19,547.0,554.0,547.0,552.510009765625,403.0902404785156,566
2010-08-20,550.0,552.0,550.0,550.0,401.259033203125,383
2010-08-23,552.0,552.0,552.0,552.0,402.7181396484375,209
2010-08-24,552.0,552.0,548.0,548.9199829101562,400.4710998535156,341
2010-08-25,520.52001953125,550.5,520.52001953125,545.3699951171875,397.88116455078125,728
2010-08-26,547.5,548.5,507.70001220703125,545.3699951171875,397.88116455078125,265
2010-08-27,548.0,548.0,520.3499755859375,541.9299926757812,395.3714599609375,303
2010-08-30,550.0,550.0,539.0,541.530029296875,395.07965087890625,21543
2010-08-31,543.0,543.0,535.0,539.7999877929688,393.8174743652344,1188
2010-09-01,544.0,545.0,542.0,542.0,395.42254638671875,404
2010-09-02,550.0,550.0,546.0,546.0,398.3407897949219,615
2010-09-03,540.0,549.8499755859375,540.0,545.0,397.6112060546875,664
2010-09-06,552.0,558.0,550.0,558.0,407.09552001953125,802
2010-09-07,558.0,558.0,556.0,557.0999755859375,406.43890380859375,507
2010-09-08,557.0999755859375,564.0,555.0,559.0,407.8250732421875,438
2010-09-09,564.0,564.0,558.0,562.989990234375,410.7360534667969,252
2010-09-13,562.989990234375,575.0,562.989990234375,572.3900146484375,417.59393310546875,989
2010-09-14,577.0,583.5,575.0,582.0,424.6050109863281,659
2010-09-15,583.0,585.0,470.5,585.0,426.793701171875,3399
2010-09-16,584.0,588.0,580.5,580.780029296875,423.7149658203125,1113
2010-09-17,580.0,605.0,580.0,589.5,430.07672119140625,332
2010-09-20,589.5,596.0,574.0,595.530029296875,434.47601318359375,969
2010-09-21,600.0,602.989990234375,595.0,598.0999755859375,436.3509216308594,510
2010-09-22,600.0,605.0,594.0,597.0,435.5484313964844,860
2010-09-23,599.0,599.0,596.0,596.5,435.18365478515625,220
2010-09-24,595.0,600.0,595.0,600.0,437.73712158203125,370
2010-09-27,606.0,610.0,601.0,601.0,438.4667053222656,155
2010-09-28,603.0,605.0,602.0,604.989990234375,441.37762451171875,230
2010-09-29,605.0,605.0,600.0,600.0,437.73712158203125,512
2010-09-30,598.0,603.989990234375,595.0,602.989990234375,439.91851806640625,14459
2010-10-01,608.0,614.0,608.0,612.530029296875,446.8785400390625,1530
2010-10-04,615.0,622.0,613.0,616.0,449.4101257324219,1855
2010-10-05,616.0,619.0,614.0,614.5,448.3157653808594,662
2010-10-06,620.0,625.0,615.0,617.2000122070312,450.28558349609375,500
2010-10-07,616.0,619.0,612.0,617.4500122070312,450.4679870605469,132
2010-10-08,612.0,616.0,608.0,613.989990234375,447.94366455078125,585
2010-10-11,616.0,618.0,613.0,613.0,447.2214050292969,186
2010-10-12,611.0,611.9600219726562,606.0,606.72998046875,442.6470642089844,525
2010-10-13,615.5,623.0,615.5,623.0,454.5170593261719,492
2010-10-14,626.0,626.0,576.5,622.5599975585938,454.196044921875,410
2010-10-15,618.0,618.0,607.0,609.1699829101562,444.42718505859375,795
2010-10-18,576.5999755859375,609.0,576.5999755859375,607.030029296875,442.865966796875,375
2010-10-19,608.0,625.0,605.0,611.47998046875,446.1124572753906,1200
2010-10-20,603.5,603.5,603.5,603.5,440.29058837890625,20
2010-10-21,605.0,608.0,603.5,608.0,443.5736389160156,367
2010-10-22,609.0,613.0,605.030029296875,610.0,445.0327453613281,246
2010-10-25,612.0,613.02001953125,610.0999755859375,611.780029296875,446.33135986328125,313
2010-10-26,612.0,613.0,610.0,610.0,445.0327453613281,92
2010-10-27,610.0,610.0,603.0999755859375,604.0,440.6553649902344,710
2010-10-28,606.0,608.0,604.0,608.0,443.5736389160156,695
2010-10-29,600.0999755859375,602.0,595.5,601.0,438.4667053222656,399
2010-11-01,649.9500122070312,680.0,609.0,610.0,445.0327453613281,52
2010-11-02,611.5,613.0,610.0,610.0,445.0327453613281,116
2010-11-03,620.0,620.0,615.0,615.0,448.6805725097656,151
2010-11-04,621.0,626.0,621.0,625.0,455.9761657714844,652
2010-11-08,635.0,635.0,569.9400024414062,630.0,459.6239929199219,1044
2010-11-09,632.0,632.0,628.0,628.0,458.16485595703125,235
2010-11-10,632.0,632.0,627.0,632.0,461.0830993652344,106
2010-11-11,632.0,640.0,621.0,624.75,455.7937927246094,459
2010-11-12,617.0499877929688,619.0,600.1500244140625,612.3599853515625,446.7544860839844,556
2010-11-15,612.0,613.0,609.0,609.7000122070312,444.81390380859375,270
2010-11-16,609.7000122070312,640.0,598.5,609.0999755859375,444.3761291503906,4518
2010-11-18,600.0,728.7999877929688,578.7000122070312,602.0,439.1962585449219,331
2010-11-19,620.0,620.0,581.0,593.010009765625,432.6374816894531,199
2010-11-22,593.0,602.0,593.0,602.0,439.1962585449219,88
2010-11-23,596.0,597.010009765625,589.0,596.989990234375,435.5411376953125,607
2010-11-24,590.010009765625,600.0,590.0,594.0,433.3597412109375,133
2010-11-25,600.0,600.0,580.0,587.8800048828125,428.89483642578125,192
2010-11-26,585.0,698.0,575.0599975585938,580.0499877929688,423.1823425292969,650
2010-11-29,580.0,583.0,579.0,579.0,422.41632080078125,522
2010-11-30,580.0,583.0,578.0,580.2899780273438,423.3574523925781,1360
2010-12-01,586.0,595.0,586.0,595.0,434.0893249511719,381
2010-12-02,602.0,602.989990234375,601.0,601.0,438.4667053222656,1679
2010-12-03,602.0,603.5,598.010009765625,600.02001953125,437.7517395019531,778
2010-12-06,602.0,606.0,602.0,602.0,439.1962585449219,508
2010-12-07,598.0,599.7000122070312,595.0499877929688,599.5,437.3723449707031,282
2010-12-08,592.0,595.9000244140625,569.0999755859375,591.0700073242188,431.2221374511719,435
2010-12-09,590.0,590.5,580.0,580.0,423.1458740234375,455
2010-12-10,582.0,584.989990234375,575.0,584.989990234375,426.7864074707031,705
2010-12-13,585.0,587.97998046875,584.0,585.0499877929688,426.8301696777344,683
2010-12-14,592.0,594.0,590.0,594.0,433.3597412109375,1349
2010-12-15,596.0,596.0,587.0,587.0,428.2528076171875,726
2010-12-16,592.0,592.0,590.0,590.0,430.4414978027344,639
2010-12-20,639.5,639.5,590.0,596.0,434.8188781738281,665
2010-12-21,600.0,604.5,570.0999755859375,604.5,441.0201721191406,3043
2010-12-22,606.0,607.0,604.0,605.0,441.3849182128906,14814
2010-12-23,600.0,602.0,600.0,602.0,439.1962585449219,85
2010-12-24,601.0,602.0,599.0,602.0,439.1962585449219,2634
2010-12-27,607.0,609.0,606.0,606.0,442.114501953125,50
2010-12-28,606.0,606.0,603.0,603.0,439.9258117675781,34
2010-12-29,607.0,607.0,607.0,607.0,442.84405517578125,89
2010-12-30,610.0,612.0,610.0,612.0,446.4918518066406,78
2010-12-31,615.0,621.0,615.0,619.2999877929688,451.8176574707031,124
2011-01-03,621.0,622.0,620.0,620.0,452.3283386230469,115
2011-01-04,621.0,621.0,615.0,620.3400268554688,452.576416015625,872
2011-01-05,616.0,616.0,613.0,613.9000244140625,447.8780517578125,358
2011-01-06,611.5,611.5,609.0,609.0,444.3031921386719,146
2011-01-07,600.0,600.0,597.0,597.510009765625,435.9205322265625,34
2011-01-10,593.0,593.0,585.0,585.0,426.793701171875,347
2011-01-11,586.0,586.0,576.0,578.219970703125,421.8472595214844,168
2011-01-12,580.0,589.9000244140625,577.0,587.9500122070312,428.9458923339844,1560
2011-01-13,587.0,634.0,577.0,582.739990234375,425.1448669433594,684
2011-01-14,577.0,586.0,574.0,574.8300170898438,419.3740539550781,638
2011-01-17,568.0,573.0,568.0,569.0,415.1207275390625,3499
2011-01-18,576.0,577.0,571.0,573.6599731445312,418.52044677734375,2112
2011-01-19,578.0,581.0,575.0,575.0,419.4980773925781,1411
2011-01-20,570.0,577.0,570.0,577.0,420.95721435546875,91
2011-01-21,575.0,576.0,575.0,576.0,420.2276611328125,90
2011-01-24,575.0,580.0,574.0,580.0,423.1458740234375,436
2011-01-25,575.0,575.0,573.0,573.0,418.0389404296875,43
2011-01-27,575.0,575.0,568.0,570.0,415.85028076171875,34
2011-01-28,564.0,564.0,550.0,553.7100219726562,403.9657287597656,1242
2011-01-31,555.0,555.0,546.0,554.1400146484375,404.2794189453125,2942
2011-02-01,554.0,554.0,542.0,543.9299926757812,396.83056640625,1909
2011-02-02,550.0,553.0,550.0,550.0,401.259033203125,171
2011-02-03,596.0,616.0,547.0,557.0,406.365966796875,473
2011-02-04,557.0,557.0,546.0,547.9299926757812,399.74884033203125,397
2011-02-07,548.0,548.0,544.0,546.5,398.70556640625,13631
2011-02-08,546.5,546.5,537.0,539.6199951171875,393.6861572265625,379
2011-02-09,539.6199951171875,539.6199951171875,531.0,533.0,388.8564758300781,8835
2011-02-10,576.0,576.0,526.0,529.0800170898438,385.9966125488281,248
2011-02-11,529.0,536.0,524.0,534.75,390.1332092285156,505
2011-02-14,541.5,549.5,541.5,549.5,400.8942565917969,27532
2011-02-15,549.0,557.0,546.0,554.280029296875,404.3815612792969,13159
2011-02-16,552.0,554.0,552.0,554.0,404.1772766113281,2028
2011-02-17,554.0,558.0,554.0,558.0,407.09552001953125,282
2011-02-18,524.5999755859375,596.0,524.5999755859375,552.989990234375,403.4403991699219,62774
2011-02-21,554.0,557.0,546.0,555.77001953125,405.4686279296875,38398
2011-02-22,552.0,556.0,550.0,553.6300048828125,403.9073486328125,1469
2011-02-23,552.0,560.0,547.0,552.9400024414062,403.4039306640625,5676
2011-02-24,547.0,550.0,530.0,540.8900146484375,394.61273193359375,2565
2011-02-25,540.0,540.0,532.0,536.7100219726562,391.56317138671875,4541
2011-02-28,537.0,551.0,537.0,538.1799926757812,392.6356201171875,479
2011-03-01,543.0,556.0,543.0,555.1500244140625,405.01629638671875,19308
2011-03-03,554.0,560.0,552.0,554.0,404.1772766113281,497
2011-03-04,560.0,564.0,557.0,557.2000122070312,406.5118713378906,799
2011-03-07,549.0,551.0,544.0,544.0,396.88165283203125,197
2011-03-08,555.0,556.0,553.0,556.0,405.63641357421875,538
2011-03-09,556.0,560.0,552.0,555.0,404.9068603515625,266
2011-03-10,553.0,554.0,551.0,554.0,404.1772766113281,107
2011-03-11,551.0,553.0,547.0,550.0,401.259033203125,15783
2011-03-14,549.0,558.0,549.0,556.0,405.63641357421875,596
2011-03-15,545.0,552.0,543.0,551.0,401.98858642578125,169
2011-03-16,554.0,556.0,554.0,554.0,404.1772766113281,519
2011-03-17,553.0,554.0,552.0,552.0,402.7181396484375,545
2011-03-18,552.0,552.0,544.0,546.0,398.3407897949219,51008
2011-03-21,543.0,544.0,541.0,543.0,396.152099609375,685
2011-03-22,543.0,547.0,543.0,545.0,397.6112060546875,356
2011-03-23,545.5,552.0,545.5,550.0,401.259033203125,894
2011-03-24,556.0,556.6500244140625,554.0,555.0,404.9068603515625,187
2011-03-25,560.0,569.0,559.0,565.0700073242188,412.2535400390625,1921
2011-03-28,575.0,575.0,568.0,573.5,418.40374755859375,2388
2011-03-29,574.0,581.989990234375,574.0,580.2000122070312,423.29180908203125,24048
2011-03-30,582.0,582.5,581.0,582.5,424.96978759765625,268
2011-03-31,582.0,591.0,582.0,588.4400024414062,429.30340576171875,2210
2011-04-01,587.0,587.0,584.0,585.0499877929688,426.8301696777344,1789
2011-04-04,588.0,594.0,587.5,594.0,433.3597412109375,505
2011-04-05,680.0,680.0,590.0,594.0,433.3597412109375,1006
2011-04-06,597.0,597.0,590.0,593.25,432.8125915527344,2416
2011-04-07,592.0,594.0,591.0,592.0,431.900634765625,222
2011-04-08,595.0,595.0,586.0,589.0,429.7119445800781,478
2011-04-11,585.0,585.5,582.0,584.5999755859375,426.5018615722656,204
2011-04-13,578.0,634.0,533.25,595.989990234375,434.81158447265625,1496
2011-04-15,594.0,594.0,588.0,588.0,428.9823913574219,133
2011-04-18,588.0,594.0,578.0,578.0,421.686767578125,103
2011-04-19,625.0,625.0,575.0,575.4000244140625,419.7899169921875,656
2011-04-20,583.0,587.0,582.0,586.0,427.52325439453125,345
2011-04-21,593.0,595.0,589.0,594.5,433.7245178222656,3705
2011-04-25,594.0,596.0,582.0,596.0,434.8188781738281,1517
2011-04-26,592.0,597.0,583.0499877929688,596.0,434.8188781738281,73
2011-04-27,595.0,595.0,566.0,591.5,431.5358581542969,24172
2011-04-28,587.0,587.0,583.0,586.0,427.52325439453125,566
2011-04-29,581.0,581.0,580.0,580.0,423.1458740234375,1651
2011-05-02,577.0,579.0,577.0,579.0,422.41632080078125,8549
2011-05-03,582.0,582.0,560.2000122070312,561.8099975585938,409.8751525878906,17897
2011-05-04,558.0,563.0,555.0,560.47998046875,408.90484619140625,198925
2011-05-05,562.0,562.0,555.0,555.0,404.9068603515625,93707
2011-05-06,556.0,563.0,556.0,563.0,410.74334716796875,454
2011-05-09,560.0,564.0,554.0,563.0,410.74334716796875,2795
2011-05-10,559.0,567.0,559.0,560.0,408.55462646484375,17254
2011-05-11,561.0,566.0,561.0,564.0,411.472900390625,3659
2011-05-12,558.0,564.0,555.0,557.0,406.365966796875,45549
2011-05-13,557.0,562.0,550.0,553.9000244140625,404.1043395996094,266
2011-05-16,557.0,558.0,553.0,556.0,405.63641357421875,298
2011-05-17,555.0,560.0,552.0,553.5599975585938,403.85626220703125,153
2011-05-18,552.0,552.989990234375,550.0,550.9000244140625,401.9156494140625,5641
2011-05-19,551.0,552.0,549.7000122070312,550.7000122070312,401.7697448730469,11571
2011-05-20,555.989990234375,556.989990234375,553.0,556.989990234375,406.3586730957031,65
2011-05-23,584.4000244140625,584.4000244140625,546.0,548.0,399.7998962402344,28917
2011-05-24,549.0,552.0,547.0,550.0,401.259033203125,104
