Date,Open,High,Low,Close,Adj Close,Volume
2000-06-05,808.5,808.5,808.5,808.5,808.5,30
2000-06-06,867.5,873.0,832.5,873.0,873.0,1980
2000-06-07,900.0,942.5,880.0,907.5,907.5,1670
2000-06-08,925.0,950.0,900.0,941.5,941.5,2310
2000-06-09,945.0,949.0,871.0,877.0,877.0,1680
2000-06-12,939.5,940.0,860.0,913.0,913.0,3490
2000-06-13,870.0,900.0,850.0,887.5,887.5,2120
2000-06-14,910.0,920.0,870.0,874.0,874.0,990
2000-06-15,867.5,872.0,845.0,854.5,854.5,1630
2000-06-16,880.0,910.0,870.0,879.0,879.0,3450
2000-06-19,879.0,879.0,879.0,879.0,879.0,0
2000-06-20,1024.5,1024.5,950.0,968.5,968.5,7890
2000-06-21,965.0,970.0,891.5,891.5,891.5,3070
2000-06-22,875.0,889.5,830.0,832.0,832.0,1570
2000-06-23,800.0,800.0,765.5,768.0,768.0,3370
2000-06-26,720.0,789.0,720.0,772.0,772.0,1630
2000-06-27,787.5,790.0,762.0,770.0,770.0,1220
2000-06-28,774.5,788.0,755.0,771.5,771.5,660
2000-06-29,807.0,820.0,770.0,777.0,777.0,1080
2000-06-30,764.0,764.0,716.5,720.0,720.0,660
2000-07-03,777.5,777.5,777.5,777.5,777.5,60
2000-07-04,839.5,839.5,839.5,839.5,839.5,20
2000-07-05,906.5,906.5,906.5,906.5,906.5,980
2000-07-06,950.0,950.0,834.0,834.0,834.0,2670
2000-07-07,834.0,834.0,834.0,834.0,834.0,0
2000-07-10,834.0,834.0,834.0,834.0,834.0,0
2000-07-11,830.0,834.5,793.0,798.5,798.5,1520
2000-07-12,780.0,787.5,735.0,769.5,769.5,1530
2000-07-13,800.0,800.0,750.0,752.5,752.5,1170
2000-07-14,759.0,759.0,720.0,739.0,739.0,1590
2000-07-17,798.0,798.0,798.0,798.0,798.0,40
2000-07-18,861.5,861.5,861.5,861.5,861.5,20
2000-07-19,930.0,930.0,852.5,901.0,901.0,770
2000-07-20,960.0,965.0,900.0,954.0,954.0,660
2000-07-21,970.0,1030.0,941.5,985.0,985.0,690
2000-07-24,985.0,985.0,985.0,985.0,985.0,0
2000-07-25,842.5,975.0,834.5,972.5,972.5,750
2000-07-26,955.0,1000.0,955.0,987.0,987.0,1080
2000-07-27,987.0,987.0,987.0,987.0,987.0,0
2000-07-28,990.0,1029.0,945.0,996.5,996.5,410
2000-07-31,965.0,970.0,927.5,959.0,959.0,460
